Year,Hydropower,Environment,Recession,Sugar,Cotton,Uncontrolled
1989,287.6,1241.0,1116.0,795.1,1358.0,1809.0
1990,1043.0,1148.0,1322.0,854.0,1606.0,1819.0
1991,1246.0,1064.0,1182.0,959.8,1550.0,1469.0
1992,1599.0,1187.0,1156.0,1248.0,1393.0,2306.0
1993,1326.0,1461.0,1479.0,1266.0,1336.0,1911.0
1994,1837.0,1738.0,1756.0,1788.0,1858.0,2744.0
1995,1409.0,1167.0,1249.0,1453.0,1580.0,1508.0
1996,2175.0,1375.0,1601.0,1680.0,1608.0,2379.0
1997,2111.0,1320.0,1354.0,2550.0,2373.0,2772.0
1998,1732.0,1599.0,1815.0,1936.0,1993.0,2297.0
1999,1204.0,1632.0,1550.0,1468.0,1336.0,1624.0
2000,1352.0,1309.0,1251.0,1284.0,1412.0,1619.0
2001,1754.0,1471.0,1631.0,1812.0,1814.0,2001.0
2002,1050.0,1242.0,1191.0,1123.0,1212.0,1624.0
2003,2245.0,1566.0,1676.0,2347.0,2458.0,2443.0
2004,1493.0,1293.0,1279.0,1250.0,1398.0,1704.0
2005,1443.0,1342.0,1369.0,1489.0,1465.0,1743.0
2006,2288.0,1541.0,1834.0,1709.0,2019.0,2318.0
2007,2664.0,2314.0,2349.0,2604.0,2790.0,3459.0
2008,2497.0,1693.0,1772.0,1787.0,1964.0,2590.0
2009,1198.0,1734.0,1617.0,1510.0,1381.0,1768.0
2010,2313.0,1753.0,1730.0,1744.0,1912.0,2630.0
2011,2276.0,2087.0,2189.0,2228.0,2338.0,2713.0
2012,1660.0,1811.0,1951.0,1745.0,1818.0,1999.0
2013,2300.0,1722.0,1921.0,1775.0,2291.0,2464.0
2014,2286.0,2089.0,2222.0,2083.0,2374.0,2527.0
2015,1525.0,1681.0,1902.0,1598.0,1781.0,1727.0
2016,1499.0,1582.0,1787.0,1586.0,1666.0,1889.0
2017,2087.0,2159.0,1615.0,2084.0,2143.0,2908.0
2018,2488.0,2255.0,2322.0,2361.0,2506.0,2981.0
2019,2933.0,2158.0,1924.0,2052.0,2746.0,2829.0
2020,1257.0,1923.0,1544.0,1296.0,1490.0,1400.0
2021,5986.0,4977.0,4412.0,3682.0,4057.0,5889.0
2022,4585.0,4711.0,4740.0,3103.0,3090.0,5125.0
2023,1223.0,1305.0,1026.0,1381.0,1134.0,1349.0
2024,1440.0,1305.0,1145.0,1047.0,1548.0,2149.0
2025,1370.0,1149.0,1122.0,1191.0,1166.0,1784.0
2026,2404.0,1643.0,1830.0,1540.0,2882.0,3543.0
2027,2347.0,1382.0,1298.0,2765.0,1822.0,3130.0
2028,1531.0,1209.0,1342.0,1176.0,1591.0,2497.0
2029,3366.0,1567.0,1833.0,1972.0,2150.0,3694.0
2030,3430.0,1668.0,2133.0,3197.0,3427.0,3678.0
2031,3896.0,2598.0,2630.0,4022.0,3246.0,5847.0
2032,1401.0,1814.0,1587.0,975.3,1833.0,3416.0
2033,3192.0,1872.0,1883.0,2794.0,2723.0,4454.0
2034,3084.0,1775.0,1662.0,2761.0,2833.0,3455.0
2035,1979.0,1383.0,1493.0,2381.0,2032.0,3493.0
2036,1206.0,977.4,847.9,745.2,1088.0,1208.0
2037,826.6,763.1,456.6,470.8,795.7,1167.0
2038,5657.0,2128.0,2464.0,2119.0,3219.0,5548.0
2039,2845.0,1854.0,1923.0,2848.0,2887.0,2759.0
2040,608.8,1097.0,826.1,507.9,751.5,992.3
2041,1759.0,1519.0,1419.0,1150.0,1628.0,2248.0
2042,1809.0,1187.0,1169.0,1266.0,1316.0,2228.0
2043,385.4,475.6,465.9,407.9,514.1,475.8
2044,2812.0,1676.0,1893.0,1550.0,2728.0,3197.0
2045,5805.0,2631.0,4093.0,5003.0,5108.0,5904.0
2046,1817.0,1840.0,2009.0,1862.0,2159.0,2574.0
2047,1132.0,1955.0,1470.0,1000.0,1597.0,2094.0
2048,1983.0,1553.0,1363.0,977.4,1691.0,3145.0
2049,973.3,774.2,805.9,1058.0,799.8,1055.0
2050,3006.0,1662.0,1644.0,1293.0,2392.0,4033.0
2051,1585.0,1336.0,1166.0,2053.0,1464.0,2328.0
2052,1259.0,1060.0,1067.0,1085.0,1403.0,1618.0
2053,1853.0,1081.0,1079.0,1650.0,1237.0,2269.0
2054,2194.0,1474.0,1364.0,2330.0,2092.0,3000.0
2055,1205.0,1015.0,937.8,1284.0,902.3,1266.0
2056,1110.0,865.8,732.9,759.7,590.1,1799.0
2057,460.3,565.4,348.7,373.1,403.6,741.9
2058,1177.0,1174.0,879.3,647.5,1320.0,2061.0
2059,2970.0,1493.0,1600.0,2091.0,2156.0,3150.0
2060,1637.0,1405.0,1424.0,1551.0,1585.0,2083.0
2061,736.8,970.9,851.3,592.0,700.4,1151.0
2062,2294.0,1401.0,1223.0,962.2,1846.0,2807.0
2063,2252.0,1661.0,1760.0,2181.0,2329.0,2199.0
2064,2765.0,1920.0,1853.0,2878.0,2874.0,4977.0
2065,372.4,991.5,705.3,1131.0,465.4,426.3
2066,1313.0,990.0,738.3,833.6,923.7,1420.0
2067,1076.0,863.5,646.7,719.2,860.4,1525.0
2068,1592.0,1305.0,1308.0,1012.0,1938.0,3150.0
2069,2037.0,1595.0,1508.0,2282.0,2238.0,3868.0
2070,5741.0,2382.0,2332.0,2471.0,3059.0,5809.0
2071,7986.0,7943.0,4626.0,4324.0,4970.0,7825.0
2072,3307.0,3255.0,3270.0,3605.0,3357.0,3175.0
2073,1073.0,1367.0,1298.0,747.7,1264.0,1668.0
2074,1736.0,1287.0,1210.0,1126.0,1043.0,2803.0
2075,3703.0,1707.0,1641.0,2046.0,2119.0,4945.0
2076,4484.0,2272.0,2131.0,3057.0,3401.0,5659.0
2077,1848.0,2071.0,1797.0,2230.0,2106.0,2930.0
2078,3938.0,3087.0,3093.0,2864.0,3892.0,5516.0
2079,3726.0,2439.0,2457.0,4295.0,3150.0,4656.0
2080,1653.0,1574.0,1546.0,1682.0,1745.0,3379.0
2081,6721.0,3677.0,3625.0,6259.0,3751.0,9223.0
2082,5286.0,5260.0,5202.0,3474.0,3508.0,5470.0
2083,4867.0,4900.0,4716.0,3133.0,2807.0,5392.0
2084,4320.0,4297.0,4284.0,2953.0,2823.0,4423.0
2085,2349.0,2271.0,2103.0,2489.0,2622.0,3820.0
2086,645.6,1312.0,976.0,989.8,479.9,728.1
2087,2769.0,1953.0,1655.0,1368.0,1905.0,4922.0
2088,944.5,647.7,658.3,675.0,729.6,876.3
2089,612.0,953.4,341.0,393.4,520.0,1461.0
2090,1055.0,741.4,606.1,634.2,966.1,1238.0
2091,2459.0,1813.0,1617.0,1249.0,2230.0,4008.0
2092,1342.0,870.0,810.2,823.7,901.9,1853.0
2093,1004.0,791.0,690.6,744.0,894.5,946.6
2094,1947.0,1259.0,1254.0,885.7,1664.0,2992.0
2095,1965.0,1455.0,1440.0,2012.0,1876.0,2324.0
2096,1121.0,1052.0,1084.0,1565.0,1245.0,2186.0
2097,6797.0,2980.0,5124.0,4899.0,5283.0,6625.0
2098,2668.0,2638.0,2648.0,2803.0,2547.0,2580.0
2099,2758.0,2081.0,1960.0,2411.0,2496.0,4716.0
